run_id,fold_id,feature_name,importance_gain,importance_split
20260119_024933,1,NAME_TYPE_SUITE_Group_of_people,0.0,0
20260119_024933,1,NAME_TYPE_SUITE_Other_A,0.0,0
20260119_024933,1,NAME_TYPE_SUITE_Other_B,37.50454902648926,5
20260119_024933,1,NAME_TYPE_SUITE_Spouse_partner,186.24533987045288,19
20260119_024933,1,NAME_TYPE_SUITE_Unaccompanied,171.03292036056519,16
20260119_024933,1,NAME_INCOME_TYPE_Businessman,0.0,0
20260119_024933,1,NAME_INCOME_TYPE_Commercial_associate,206.48346996307373,21
20260119_024933,1,NAME_INCOME_TYPE_Maternity_leave,0.0,0
20260119_024933,1,NAME_INCOME_TYPE_Pensioner,0.0,0
20260119_024933,1,NAME_INCOME_TYPE_State_servant,1096.1071705818176,54
20260119_024933,1,NAME_INCOME_TYPE_Student,0.0,0
20260119_024933,1,NAME_INCOME_TYPE_Unemployed,0.0,0
20260119_024933,1,NAME_INCOME_TYPE_Working,1496.207106590271,62
20260119_024933,1,NAME_EDUCATION_TYPE_Academic_degree,0.0,0
20260119_024933,1,NAME_EDUCATION_TYPE_Higher_education,6564.638938903809,141
20260119_024933,1,NAME_EDUCATION_TYPE_Incomplete_higher,31.150790691375732,4
20260119_024933,1,NAME_EDUCATION_TYPE_Lower_secondary,55.15137004852295,6
20260119_024933,1,NAME_EDUCATION_TYPE_Secondary_secondary_special,3050.9945545196533,77
20260119_024933,1,NAME_FAMILY_STATUS_Civil_marriage,129.5051712989807,11
20260119_024933,1,NAME_FAMILY_STATUS_Married,2731.627462863922,153
20260119_024933,1,NAME_FAMILY_STATUS_Separated,220.4192008972168,21
20260119_024933,1,NAME_FAMILY_STATUS_Single_not_married,201.67343854904175,16
20260119_024933,1,NAME_FAMILY_STATUS_Unknown,0.0,0
20260119_024933,1,NAME_FAMILY_STATUS_Widow,45.31863021850586,4
20260119_024933,1,NAME_HOUSING_TYPE_Co_op_apartment,0.0,0
20260119_024933,1,NAME_HOUSING_TYPE_House_apartment,441.80829906463623,39
20260119_024933,1,NAME_HOUSING_TYPE_Municipal_apartment,248.43486166000366,27
20260119_024933,1,NAME_HOUSING_TYPE_Office_apartment,87.57110023498535,13
20260119_024933,1,NAME_HOUSING_TYPE_Rented_apartment,15.058309555053711,2
20260119_024933,1,NAME_HOUSING_TYPE_With_parents,87.83766078948975,6
20260119_024933,1,OCCUPATION_TYPE_Accountants,52.60689926147461,5
20260119_024933,1,OCCUPATION_TYPE_Cleaning_staff,0.0,0
20260119_024933,1,OCCUPATION_TYPE_Cooking_staff,19.39093017578125,2
20260119_024933,1,OCCUPATION_TYPE_Core_staff,1089.3740515708923,54
20260119_024933,1,OCCUPATION_TYPE_Drivers,526.6588220596313,39
20260119_024933,1,OCCUPATION_TYPE_HR_staff,0.0,0
20260119_024933,1,OCCUPATION_TYPE_High_skill_tech_staff,112.94507026672363,13
20260119_024933,1,OCCUPATION_TYPE_IT_staff,0.0,0
20260119_024933,1,OCCUPATION_TYPE_Laborers,348.8896508216858,26
20260119_024933,1,OCCUPATION_TYPE_Low_skill_Laborers,0.0,0
20260119_024933,1,OCCUPATION_TYPE_Managers,7.91864013671875,1
20260119_024933,1,OCCUPATION_TYPE_Medicine_staff,70.86449861526489,8
20260119_024933,1,OCCUPATION_TYPE_Private_service_staff,0.0,0
20260119_024933,1,OCCUPATION_TYPE_Realty_agents,0.0,0
20260119_024933,1,OCCUPATION_TYPE_Sales_staff,348.33990478515625,23
20260119_024933,1,OCCUPATION_TYPE_Secretaries,0.0,0
20260119_024933,1,OCCUPATION_TYPE_Security_staff,7.346869945526123,1
20260119_024933,1,OCCUPATION_TYPE_Waiters_barmen_staff,6.7100701332092285,1
20260119_024933,1,WEEKDAY_APPR_PROCESS_START_FRIDAY,167.14090871810913,12
20260119_024933,1,WEEKDAY_APPR_PROCESS_START_MONDAY,177.40438985824585,17
20260119_024933,1,WEEKDAY_APPR_PROCESS_START_SATURDAY,116.66307020187378,11
20260119_024933,1,WEEKDAY_APPR_PROCESS_START_SUNDAY,42.27165937423706,6
20260119_024933,1,WEEKDAY_APPR_PROCESS_START_THURSDAY,46.58030033111572,3
20260119_024933,1,WEEKDAY_APPR_PROCESS_START_TUESDAY,163.22210836410522,15
20260119_024933,1,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,177.33247995376587,20
20260119_024933,1,ORGANIZATION_TYPE_Advertising,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Agriculture,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Bank,151.76343965530396,19
20260119_024933,1,ORGANIZATION_TYPE_Business_Entity_Type_1,33.80142021179199,4
20260119_024933,1,ORGANIZATION_TYPE_Business_Entity_Type_2,9.083399772644043,1
20260119_024933,1,ORGANIZATION_TYPE_Business_Entity_Type_3,660.6591382026672,55
20260119_024933,1,ORGANIZATION_TYPE_Cleaning,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Construction,279.6099410057068,30
20260119_024933,1,ORGANIZATION_TYPE_Culture,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Electricity,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Emergency,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Government,41.867210388183594,5
20260119_024933,1,ORGANIZATION_TYPE_Hotel,6.419459819793701,1
20260119_024933,1,ORGANIZATION_TYPE_Housing,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_1,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_10,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_11,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_12,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_13,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_2,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_3,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_4,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_5,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_6,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_7,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_8,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Industry_type_9,241.9493989944458,27
20260119_024933,1,ORGANIZATION_TYPE_Insurance,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Kindergarten,100.7286810874939,10
20260119_024933,1,ORGANIZATION_TYPE_Legal_Services,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Medicine,134.4942502975464,14
20260119_024933,1,ORGANIZATION_TYPE_Military,320.4018669128418,32
20260119_024933,1,ORGANIZATION_TYPE_Mobile,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Other,34.062259674072266,3
20260119_024933,1,ORGANIZATION_TYPE_Police,43.2217698097229,6
20260119_024933,1,ORGANIZATION_TYPE_Postal,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Realtor,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Religion,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Restaurant,21.362540245056152,3
20260119_024933,1,ORGANIZATION_TYPE_School,204.53886890411377,24
20260119_024933,1,ORGANIZATION_TYPE_Security,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Security_Ministries,6.768179893493652,1
20260119_024933,1,ORGANIZATION_TYPE_Self_employed,1266.972605228424,90
20260119_024933,1,ORGANIZATION_TYPE_Services,5.867410182952881,1
20260119_024933,1,ORGANIZATION_TYPE_Telecom,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Trade_type_1,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Trade_type_2,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Trade_type_3,21.294769763946533,2
20260119_024933,1,ORGANIZATION_TYPE_Trade_type_4,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Trade_type_5,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Trade_type_6,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Trade_type_7,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Transport_type_1,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Transport_type_2,0.0,0
20260119_024933,1,ORGANIZATION_TYPE_Transport_type_3,245.75790929794312,26
20260119_024933,1,ORGANIZATION_TYPE_Transport_type_4,25.225550174713135,3
20260119_024933,1,ORGANIZATION_TYPE_University,5.447420120239258,1
20260119_024933,1,ORGANIZATION_TYPE_XNA,0.0,0
20260119_024933,1,FONDKAPREMONT_MODE_not_specified,16.71452045440674,2
20260119_024933,1,FONDKAPREMONT_MODE_org_spec_account,15.27163028717041,2
20260119_024933,1,FONDKAPREMONT_MODE_reg_oper_account,43.47671985626221,3
20260119_024933,1,FONDKAPREMONT_MODE_reg_oper_spec_account,5.670310020446777,1
20260119_024933,1,HOUSETYPE_MODE_block_of_flats,11.739299774169922,1
20260119_024933,1,HOUSETYPE_MODE_specific_housing,5.066939830780029,1
20260119_024933,1,HOUSETYPE_MODE_terraced_house,0.0,0
20260119_024933,1,WALLSMATERIAL_MODE_Block,16.162659645080566,2
20260119_024933,1,WALLSMATERIAL_MODE_Mixed,4.9004998207092285,1
20260119_024933,1,WALLSMATERIAL_MODE_Monolithic,0.0,0
20260119_024933,1,WALLSMATERIAL_MODE_Others,13.563739776611328,2
20260119_024933,1,WALLSMATERIAL_MODE_Panel,165.64878034591675,11
20260119_024933,1,WALLSMATERIAL_MODE_Stone_brick,298.2489290237427,29
20260119_024933,1,WALLSMATERIAL_MODE_Wooden,0.0,0
20260119_024933,1,EMERGENCYSTATE_MODE_No,10.972399711608887,1
20260119_024933,1,EMERGENCYSTATE_MODE_Yes,0.0,0
20260119_024933,1,DAYS_EMPLOYED_PERC,10129.604917049408,728
20260119_024933,1,INCOME_CREDIT_PERC,5278.532110214233,415
20260119_024933,1,INCOME_PER_PERSON,4128.182249546051,378
20260119_024933,1,ANNUITY_INCOME_PERC,9394.998931407928,667
20260119_024933,1,PAYMENT_RATE,30997.1453332901,1344
20260119_024933,1,BURO_DAYS_CREDIT_MIN,2599.560851097107,234
20260119_024933,1,BURO_DAYS_CREDIT_MAX,6431.661098480225,453
20260119_024933,1,BURO_DAYS_CREDIT_MEAN,4864.137252807617,308
20260119_024933,1,BURO_DAYS_CREDIT_VAR,4416.913993358612,381
20260119_024933,1,BURO_DAYS_CREDIT_ENDDATE_MIN,2644.2499027252197,228
20260119_024933,1,BURO_DAYS_CREDIT_ENDDATE_MAX,4814.6593770980835,379
20260119_024933,1,BURO_DAYS_CREDIT_ENDDATE_MEAN,4203.015559196472,333
20260119_024933,1,BURO_DAYS_CREDIT_UPDATE_MEAN,3129.625415325165,268
20260119_024933,1,BURO_CREDIT_DAY_OVERDUE_MAX,26.766950130462646,3
20260119_024933,1,BURO_CREDIT_DAY_OVERDUE_MEAN,5.565489768981934,1
20260119_024933,1,BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,6919.687974452972,501
20260119_024933,1,BURO_AMT_CREDIT_SUM_MAX,3375.218765735626,281
20260119_024933,1,BURO_AMT_CREDIT_SUM_MEAN,4844.41105222702,399
20260119_024933,1,BURO_AMT_CREDIT_SUM_SUM,4382.614683151245,331
20260119_024933,1,BURO_AMT_CREDIT_SUM_DEBT_MAX,2606.012568950653,203
20260119_024933,1,BURO_AMT_CREDIT_SUM_DEBT_MEAN,6362.136235237122,399
20260119_024933,1,BURO_AMT_CREDIT_SUM_DEBT_SUM,2666.7194628715515,197
20260119_024933,1,BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,1596.6288242340088,55
20260119_024933,1,BURO_AMT_CREDIT_SUM_LIMIT_MEAN,1362.5654587745667,124
20260119_024933,1,BURO_AMT_CREDIT_SUM_LIMIT_SUM,744.7073092460632,67
20260119_024933,1,BURO_AMT_ANNUITY_MAX,1035.0341367721558,94
20260119_024933,1,BURO_AMT_ANNUITY_MEAN,1074.4670906066895,103
20260119_024933,1,BURO_CNT_CREDIT_PROLONG_SUM,15.485259532928467,2
20260119_024933,1,BURO_MONTHS_BALANCE_MIN_MIN,1011.8453335762024,86
20260119_024933,1,BURO_MONTHS_BALANCE_MAX_MAX,42.18166923522949,4
20260119_024933,1,BURO_MONTHS_BALANCE_SIZE_MEAN,912.8579306602478,80
